PATHOLOGIES,PLACEHOLDER,OBSERVATION,IMPRESSION,VARIABLES,QUESTION
bulky uterus,UTERUS,Bulky in size (~ _uterussize cm).,Bulky uterus.,uterussize,"[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Bulky Uterus""
  },
  {
    ""type"": ""input box"",
    ""key"": ""uterussize"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the uterus (cm)"",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
calcified fibroid,UTERUS,A hyperechoic focus measuring ~ _measurement_1 mm is seen along _uterus_location – Likely calcified fibroid.,Small calcified uterine fibroid.,"measurement_1,uterus_location","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Calcified Fibroid""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""place_holder"": ""false"",
        ""value"": ""Size of the hyperechoic focus (mm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""uterus_location"",
        ""place_holder"": ""false"",
        ""value"": ""Location along the uterus: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]"
cholecystolithiasis,GALL BLADDER,_distended distended at the time of scan showing _no_of_1 calculus measuring ~ _measurement_1 mm within.,Cholecystolithiasis with no evidence of cholecystitis.,"distended,no_of_1,measurement_1,distended","[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Cholecystolithiasis""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""no_of_1"",
    ""place_holder"": ""false"",
    ""value"": ""Number of calculi observed: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""input box"",
    ""key"": ""measurement_1"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the calculus (mm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""distended"",
    ""place_holder"": ""false"",
    ""value"": ""Gallbladder distension status at the time of scan: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
chronic cystitis,URINARY BLADDER,_distended showing diffuse wall thickening (~ _measurement_1 mm). _echos Internal echoes noted within.,Diffuse urinary bladder wall thickening showing _echos internal echoes ~ Likely in favor of chronic cystitis.,"distended,measurement_1,echos,presence","[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Chronic Cystitis""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""distended"",
    ""place_holder"": ""false"",
    ""value"": ""Bladder distension status at the time of scan: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""input box"",
    ""key"": ""measurement_1"",
    ""place_holder"": ""false"",
    ""value"": ""Bladder wall thickness (mm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""echos"",
    ""place_holder"": ""false"",
    ""value"": ""Internal echoes noted within: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""presence"",
    ""place_holder"": ""false"",
    ""value"": ""Dependent debris noted within: "",
    ""followup"": ""true"",
    ""to_followup"": {
      ""presence"": {
        ""additional_text"": ""Dependent debris noted.""
      }
    }
  }
]
"
chronic low grade pelvic inflammatory disease,OTHER,Minimal free fluid in pouch of Douglas.,Minimal free fluid in pouch of Douglas- Suggested clinical correlation to rule out chronic low grade pelvic inflammatory disease.,,
coarse echotexture of liver,LIVER,_liver_size (~ _measurement_1 cm) with coarse echotexture.,coarse echotexture of liver.,"liver_size,measurement_1,yes_no_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Coarse Echotexture of Liver""
    },
    {
        ""type"": ""input box"",
        ""key"": ""measurement_1"",
        ""value"": ""Liver size (cm): "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""liver_size"",
        ""value"": ""Is liver size normal?: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""yes_no_1"",
        ""value"": ""Presence of surface irregularity?: "",
        ""followup"": ""true"",
        ""to_followup"": {
            ""yes"": {
                ""additional_text"": ""Shows mild surface irregularity.""
            },
            ""no"": ""__mandate__""
        }
    }
]
"
collaterals,PORTAL VEIN,Few _collateral collaterals noted.,Few _collateral collaterals noted.,collateral,"[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Collaterals""
  },
  {
    ""type"": ""multiple choice"",
    ""key"": ""collateral"",
    ""place_holder"": ""false"",
    ""value"": ""Collaterals: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
complex renal cortical cyst,KIDNEYS,complex renal cortical cyst noted in _side_1 kidney.,complex renal cortical cysts as described – Bosniak type _bosniak cysts,"side_1,no_of_1,measurement_1,kidney_pole_1,no_of_2,measurement_2,kidney_pole_2,bosniak,yes_no_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Complex Renal Cortical Cyst""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of renal cortical cyst:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_1"",
                    ""value"": ""Number of cyst in right kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the right kidney where the cyst is located:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the cyst (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""single choice"",
                    ""key"": ""bosniak"",
                    ""value"": ""Bosniak classification type:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""single choice"",
                    ""key"": ""yes_no_1"",
                    ""value"": ""Is there calcification within the cyst? :"",
                    ""followup"": ""true"",
                    ""to_followup"": { ""yes"": {
                        ""additional_text"": ""_no_of_1 cyst measuring ~ _measurement_1 cm is seen in _kidney_pole_1 region of _side_1 kidney showing multiple thin echogenic internal septations within and calcification within. ~ Likely in favour of Bosniak type _bosniak cyst.""
                    },
                    ""no"": {
                        ""additional_text"": ""_no_of_1 cyst measuring ~ _measurement_1 cm is seen in _kidney_pole_1 region of _side_1 kidney showing multiple thin echogenic internal septations within. ~ Likely in favour of Bosniak type _bosniak cyst.""
                    }
                }
            }
            ],
            ""left"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_1"",
                    ""value"": ""Number of cyst in left kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the cyst (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the left kidney where the cyst is located:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""single choice"",
                    ""key"": ""bosniak"",
                    ""value"": ""Bosniak classification type:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""single choice"",
                    ""key"": ""yes_no_1"",
                    ""value"": ""Is there calcification within the cyst? :"",
                    ""followup"": ""true"",
                    ""to_followup"": { ""yes"": {
                        ""additional_text"": ""_no_of_1 cyst measuring ~ _measurement_1 cm is seen in _kidney_pole_1 region of _side_1 kidney showing multiple thin echogenic internal septations within and calcification within. ~ Likely in favour of Bosniak type _bosniak cyst.""
                    },
                    ""no"": {
                        ""additional_text"": ""_no_of_1 cyst measuring ~ _measurement_1 cm is seen in _kidney_pole_1 region of _side_1 kidney showing multiple thin echogenic internal septations within. ~ Likely in favour of Bosniak type _bosniak cyst.""
                    }
                }
            }
            ],
            ""bilateral"": [
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_1"",
                    ""value"": ""Number of cyst in right kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the cyst in right kidney (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the right kidney where the cyst is located:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""single choice"",
                    ""key"": ""no_of_2"",
                    ""value"": ""Number of cyst in left kidney:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Size of the cyst in left kidney (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_2"",
                    ""value"": ""Pole of the left kidney where the cyst is located:"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""single choice"",
                    ""key"": ""bosniak"",
                    ""value"": ""Bosniak classification type: "",
                    ""followup"": ""true"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""single choice"",
                    ""key"": ""yes_no_1"",
                    ""value"": ""Is there calcification within the cyst? :"",
                    ""followup"": ""true"",
                    ""to_followup"": { ""yes"": {
                        ""additional_text"": ""_no_of_1 cyst measuring ~ _measurement_1 cm is seen in _kidney_pole_1 region of right kidney showing multiple thin echogenic internal septations within. _no_of_2 cysts measuring ~ _measurement_2 cm are seen in _kidney_pole_2 region of left kidney showing multiple thin echogenic internal septations within and calcification within. ~ Likely in favour of Bosniak type _bosniak cyst.""                    },
                    ""no"": {
                        ""additional_text"": ""_no_of_1 cyst measuring ~ _measurement_1 cm is seen in _kidney_pole_1 region of right kidney showing multiple thin echogenic internal septations within. _no_of_2 cysts measuring ~ _measurement_2 cm are seen in _kidney_pole_2 region of left kidney showing multiple thin echogenic internal septations within. ~ Likely in favour of Bosniak type _bosniak cyst.""                    }
                    }
                }
            ]
        }
    }
]"
corpora amylacea calcifications,PROSTATE,Corpora amylacea calcifications noted.,,,
cortical calcification,KIDNEYS,Cortical calcification is seen in _side_1 kidney.,,"side_1,measurement_1,kidney_pole_1,measurement_2,kidney_pole_2","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Cortical Calcification""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of cortical calcification:"",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the calcification in right kidney (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the right kidney where the calcification is located:"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""Measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""Measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        },
                        ""lower"": {
                            ""additional_text"": ""Measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        }
                    }
                }
            ],
            ""left"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the calcification in left kidney (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the left kidney where the calcification is located:"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""Measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""Measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        },
                        ""lower"": {
                            ""additional_text"": ""Measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of _side_1 kidney.""
                        }
                    }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Size of the calcification in right kidney (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_1"",
                    ""value"": ""Pole of the right kidney where the calcification is located :"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Size of the calcification in left kidney (mm):"",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""multiple choice"",
                    ""key"": ""kidney_pole_2"",
                    ""value"": ""Pole of the left kidney where the calcification is located:"",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""upper"": {
                            ""additional_text"": ""Measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of right kidney. Measuring ~ _measurement_2 mm is seen in _kidney_pole_2 region of left kidney.""
                        },
                        ""interpolar"": {
                            ""additional_text"": ""Measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of right kidney. Measuring ~ _measurement_2 mm is seen in _kidney_pole_2 region of left kidney.""
},
                        ""lower"": {
                            ""additional_text"":""Measuring ~ _measurement_1 mm is seen in _kidney_pole_1 region of right kidney. Measuring ~ _measurement_2 mm is seen in _kidney_pole_2 region of left kidney.""
}
                    }
                }
            ]
        }
    }
]"
cystitis,URINARY BLADDER,_distended showing diffuse bladder wall thickening (~ _measurement_1 mm).,Diffuse urinary bladder wall thickening ~ Suggested clinical correlation in view of cystitis.,"distended,measurement_1,echos","[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Cystitis""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""distended"",
    ""place_holder"": ""false"",
    ""value"": ""Bladder distension status at the time of scan: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""input box"",
    ""key"": ""measurement_1"",
    ""place_holder"": ""false"",
    ""value"": ""Bladder wall thickness (mm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""echos"",
    ""place_holder"": ""false"",
    ""value"": ""Internal echoes noted within: "",
    ""followup"": ""true"",
    ""to_followup"": {
      ""fine"": {
        ""additional_text"": ""Fine internal echoes noted within.""
      },
      ""coarse"": {
        ""additional_text"": ""Coarse internal echoes noted within.""
      }
    }
  }
]
"
diffuse adenomyosis,UTERUS,Bulky in size measuring ~ _measurement_1 cm showing diffuse heterogeneous echotexture with blurring of junctional zone.,"Bulky uterus with heterogeneous echotexture, showing blurring of junctional zone – suggested clinical correlation in view of diffuse uterine adenomyosis",measurement_1,"[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Diffuse Adenomyosis""
  },
  {
    ""type"": ""input box"",
    ""key"": ""measurement_1"",
    ""place_holder"": ""false"",
    ""value"": ""Size of the uterus (cm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
dilated portal vein,PORTAL VEIN,Normal in course and dilated in calibre (~ _measurement_1 mm) – Shows maintained hepato-petal flow.,Dilated portal vein.,measurement_1,"[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""Dilated Portal Vein""
  },
  {
    ""type"": ""input box"",
    ""key"": ""measurement_1"",
    ""place_holder"": ""false"",
    ""value"": ""Caliber of the portal vein (mm): "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
dj stent,URINARY BLADDER,DJ stent is seen on the _side_1 side.,,side_1,"[
  {
    ""type"": ""heading"",
    ""key"": """",
    ""value"": ""DJ Stent""
  },
  {
    ""type"": ""single choice"",
    ""key"": ""side_1"",
    ""place_holder"": ""false"",
    ""value"": ""Side where DJ stent is seen: "",
    ""followup"": ""false"",
    ""to_followup"": ""NA""
  }
]
"
dominant follicle,OVARIES,A well-defined cystic lesion arising from _side_1 ovary ,_side_1 ovary showing a well-defined cystic focus as described– Likely dominant follicle,"measurement_1,side_1,measurement_2","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Dominant Follicle""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the ovary where the cystic lesion is seen: "",
        ""followup"": ""true"",
        ""to_followup"": {
            ""right"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Measurement of the cystic lesion (cm): "",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""measuring ~ _measurement_1 cm is seen  – likely dominant follicle.""
                        }
                    }
                }
            ],
            ""left"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Measurement of the cystic lesion (cm): "",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""measuring ~ _measurement_1 cm is seen  – likely dominant follicle.""
                        }
                    }
                }
            ],
            ""bilateral"": [
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_1"",
                    ""value"": ""Measurement of the cystic lesion in right ovary(cm): "",
                    ""followup"": ""false"",
                    ""to_followup"": ""NA""
                },
                {
                    ""type"": ""input box"",
                    ""key"": ""measurement_2"",
                    ""value"": ""Measurement of the cystic lesion in left side (cm): "",
                    ""followup"": ""true"",
                    ""to_followup"": {
                        ""measurement_1"": {
                            ""additional_text"": ""measuring ~ _measurement_1 cm in right ovary and ~ _measurement_2 in left ovary   – likely dominant follicle.""
                        }
                    }
                }
            ]
        }
    }
]"
early inguinal hernia,OTHER,Mild prominence of _side_1 superfical inguinal ring with tranisent herniation of _herniated_content on cough impulse,Early left inguinal hernia - suggested clinial correlation.,"side_1,herniated_content,measurement_2","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Early Inguinal Hernia""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the inguinal ring showing prominence"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""multiple choice"",
        ""key"": ""herniated_content"",
        ""value"": ""Content herniated through the inguinal ring"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
echogenic sludge(cbd),CBD,echogenic sludge noted within.,,,
echogenic sludge(gall bladder),GALL BLADDER,echogenic sludge noted within.,,,
edematous appearance of distal ileal loops,OTHER,Mild oedematous appearance of distal ileal loops noted.,Edematous appearance of distal ileal loops with associated inflammatory changes as described – suggested clinical correlation in view of infective etiology.,,
edematous vuj,URINARY BLADDER,_distended at the time of scan showing oedematous _side_1 VUJ.,Edematous _side_1 VUJ~ Suggested clinical correlation in view of passed off calculus.,"distended,side_1","[
    {
        ""type"": ""heading"",
        ""key"": """",
        ""value"": ""Edematous VUJ""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""distended"",
        ""value"": ""Distention of bladder: "",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    },
    {
        ""type"": ""single choice"",
        ""key"": ""side_1"",
        ""value"": ""Side of the edematous VUJ"",
        ""followup"": ""false"",
        ""to_followup"": ""NA""
    }
]
"
